cow_id,bull_id
NL00000038566,US00000003013
GB00000038572,US00000003013
DE00000038577,US00000003013
GB00000039572,US00000003013
DE00000040537,US00000003013
DE00000093513,US00000003013
FR00000040974,US00000003013
NL00000040979,US00000003013
FR00000041308,US00000003013
GB00000041361,US00000003013
FR00000041419,US00000003013
FR00000041462,US00000003013
US00000041466,US00000003013
GB00000041468,US00000003013
DE00000041475,US00000003013
NL00000040809,US00000003013
GB00000042215,US00000003013
US00000043055,US00000003013
DE00000042590,US00000003013
DE00000042815,US00000003013
RU00000043208,US00000003013
DE00000043287,US00000003013
RU00000043319,US00000003013
FR00000040282,US00000003013
DE00000044310,US00000003013
RU00000040409,US00000003013
DE00000043920,US00000003013
NL00000043968,US00000003013
NL00000043987,US00000003013
DE00000044040,US00000003013
GB00000044064,US00000003013
NL00000046388,US00000003013
DE00000046448,US00000003013
GB00000044514,US00000003013
RU00000044600,US00000003013
FR00000044621,US00000003013
FR00000044667,US00000003013
GB00000044764,US00000003013
NL00000040471,US00000003013
GB00000045114,US00000003013
GB00000049192,US00000003013
US00000049211,US00000003013
US00000046823,US00000003013
FR00000045347,US00000003013
RU00000045701,US00000003013
FR00000047121,US00000003013
DE00000047128,US00000003013
FR00000047134,US00000003013
GB00000047413,US00000003013
NL00000047631,US00000003013
RU00000045957,US00000003013
RU00000046210,US00000003013
FR00000046242,US00000003013
RU00000018695,US00000003013
DE00000019395,US00000003013
GB00000019404,US00000003013
US00000019414,US00000003013
NL00000019456,US00000003013
DE00000021692,US00000003013
RU00000022827,US00000003013
US00000023591,US00000003013
US00000047661,US00000003013
RU00000047721,US00000003013
RU00000047964,US00000003013
NL00000048085,US00000003013
US00000048228,US00000003013
RU00000048353,US00000003013
RU00000048676,US00000003013
RU00000024108,US00000003013
FR00000024324,US00000003013
FR00000024681,US00000003013
GB00000025117,US00000003013
DE00000026404,US00000003013
GB00000026704,US00000003013
US00000027519,US00000003013
GB00000027842,US00000003013
US00000048922,US00000003013
US00000045156,US00000003013
FR00000028526,US00000003013
DE00000028949,US00000003013
US00000029282,US00000003013
FR00000029307,US00000003013
US00000029331,US00000003013
FR00000049918,US00000003013
FR00000049924,US00000003013
FR00000049984,US00000003013
US00000049997,US00000003013
DE00000050000,US00000003013
US00000050034,US00000003013
FR00000047767,US00000003013
GB00000050042,US00000003013
GB00000030577,US00000003013
RU00000030737,US00000003013
DE00000030805,US00000003013
US00000050090,US00000003013
US00000050110,US00000003013
US00000050111,US00000003013
NL00000050131,US00000003013
DE00000050140,US00000003013
US00000050157,US00000003013
DE00000050159,US00000003013
DE00000032475,US00000003013
US00000032622,US00000003013
DE00000032639,US00000003013
US00000033209,US00000003013
NL00000050204,US00000003013
US00000050216,US00000003013
NL00000050220,US00000003013
GB00000049233,US00000003013
RU00000011856,US00000003013
RU00000014535,US00000003013
FR00000014648,US00000003013
RU00000015610,US00000003013
US00000050233,US00000003013
RU00000050265,US00000003013
FR00000050267,US00000003013
US00000050285,US00000003013
GB00000050289,US00000003013
NL00000039455,US00000003013
NL00000048746,US00000003013
DE00000033510,US00000003013
GB00000034563,US00000003013
RU00000034844,US00000003013
NL00000035085,US00000003013
NL00000035695,US00000003013
NL00000012052,US00000003013
US00000014749,US00000003013
US00000037792,US00000003013
US00000004565,US00000003013
NL00000020260,US00000003013
FR00000024600,US00000003013
RU00000032722,US00000003013
DE00000032994,US00000003013
FR00000005547,US00000003013
FR00000040691,US00000003013
DE00000040937,US00000003013
US00000005865,US00000003013
FR00000006162,US00000003013
GB00000039362,US00000003013
US00000041222,US00000003013
RU00000043503,US00000003013
RU00000043533,US00000003013
NL00000049550,US00000003013
DE00000007444,US00000003013
US00000007740,US00000003013
NL00000008178,US00000003013
FR00000042715,US00000003013
US00000042973,US00000003013
DE00000043214,US00000003013
GB00000007454,US00000003013
GB00000011147,US00000003013
NL00000011859,US00000003013
FR00000010117,US00000003013
NL00000010122,US00000003013
NL00000010537,US00000003013
FR00000011141,US00000003013
FR00000011142,US00000003013
FR00000011143,US00000003013
US00000011304,US00000003013
DE00000045206,US00000003013
GB00000011501,US00000003013
US00000017266,US00000003013
DE00000018964,US00000003013
US00000022267,US00000003013
RU00000011631,US00000003013
RU00000013335,US00000003013
FR00000013575,US00000003013
RU00000014113,US00000003013
RU00000014319,US00000003013
DE00000016020,US00000003013
US00000016266,US00000003013
RU00000016273,US00000003013
DE00000016426,US00000003013
RU00000031480,US00000003013
DE00000035697,US00000003013
NL00000036644,US00000003013
GB00000039353,US00000003013
DE00000016756,US00000003013
GB00000006795,US00000003013
FR00000012237,US00000003013
RU00000013090,US00000003013
RU00000013407,US00000003013
NL00000015128,US00000003013
RU00000015210,US00000003013
GB00000015624,US00000003013
FR00000017024,US00000003013
FR00000091837,US00000003013
RU00000030031,US00000003013
GB00000039703,US00000003013
FR00000040151,US00000003013
NL00000042256,US00000003013
RU00000047205,US00000003013
GB00000022684,US00000003013
RU00000023576,US00000003013
DE00000027368,US00000003013
FR00000034331,US00000003013
NL00000091997,US00000003013
NL00000016755,US00000003013
FR00000092018,US00000003013
GB00000044347,US00000003013
US00000047515,US00000003013
GB00000092465,US00000003013
GB00000032981,US00000003013
RU00000032985,US00000003013
FR00000039828,US00000003013
GB00000039863,US00000003013
DE00000030804,US00000003013
FR00000073516,US00000003013
US00000052723,US00000003013
RU00000052948,US00000003013
NL00000002999,US00000003013
GB00000035914,US00000003013
NL00000021881,US00000003013
GB00000047811,US00000003013
NL00000073960,US00000003013
DE00000038524,US00000003013
NL00000074100,US00000003013
GB00000076449,US00000003013
US00000038657,US00000003013
US00000072760,US00000003013
GB00000083100,US00000003013
DE00000072722,US00000003013
US00000038682,US00000003013
US00000032968,US00000003013
DE00000010070,US00000003013
RU00000072774,US00000003013
RU00000062034,US00000003013
US00000083127,US00000003013
DE00000083316,US00000003013
US00000062337,US00000003013
DE00000072845,US00000003013
RU00000072843,US00000003013
RU00000044803,US00000003013
US00000072703,US00000003013
FR00000051533,US00000003013
